,Province/State,Country/Region,Lat,Long,Date,cases
90,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-18,3
91,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-18,0
92,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-19,3
93,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-19,0
94,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-02,3
95,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-02,0
96,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-20,3
97,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-20,0
98,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-21,3
99,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-21,0
100,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-22,3
101,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-22,0
102,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-23,3
103,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-23,0
104,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-24,3
105,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-24,0
106,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-25,3
107,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-25,0
108,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-26,3
109,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-26,0
110,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-27,3
111,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-27,0
112,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-28,3
113,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-28,0
114,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-29,3
115,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-29,0
116,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-03,3
117,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-03,0
118,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-30,3
119,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-30,0
120,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-31,3
121,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-31,0
122,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-04,3
123,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-04,0
124,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-05,3
125,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-05,0
126,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-06,3
127,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-06,0
128,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-07,3
129,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-07,0
130,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-08,3
131,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-08,0
132,Anguilla,United Kingdom,18.2206,-63.0686,2020-10-09,3
133,Anguilla,United Kingdom,18.2206,-63.0686,2021-10-09,0
134,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-01,3
135,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-01,0
136,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-10,3
137,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-10,0
138,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-11,3
139,Anguilla,United Kingdom,18.2206,-63.0686,2021-11-11,0
140,Anguilla,United Kingdom,18.2206,-63.0686,2020-11-12,3
